season,home_team,away_team,home_score,away_score,neutral,note
2024,Alpha State,Beta University,81,73,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Beta University,Alpha State,79,72,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Alpha State,Gamma College,87,71,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Gamma College,Alpha State,70,82,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Alpha State,Delta Tech,84,73,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Delta Tech,Alpha State,73,77,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Alpha State,Epsilon U,77,72,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Epsilon U,Alpha State,72,71,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Alpha State,Zeta State,95,72,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Zeta State,Alpha State,72,87,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Beta University,Gamma College,82,74,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Gamma College,Beta University,78,70,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Beta University,Delta Tech,77,70,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Delta Tech,Beta University,73,80,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Beta University,Epsilon U,91,72,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Epsilon U,Beta University,74,81,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Beta University,Zeta State,80,71,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Zeta State,Beta University,72,75,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Gamma College,Delta Tech,81,73,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Delta Tech,Gamma College,91,73,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Gamma College,Epsilon U,76,72,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Epsilon U,Gamma College,71,79,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Gamma College,Zeta State,87,73,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Zeta State,Gamma College,70,74,False,SYNTHETIC_DEMO_NOT_HISTORICAL
